,hh_id,person_id,tour_id,tour_category,tour_purpose,orig_maz,dest_maz,tour_mode
37145,2051162,3943948,0,INDIVIDUAL_NON_MANDATORY,discretionary,1590,1539,7
37146,2051162,3943948,1,INDIVIDUAL_NON_MANDATORY,eatingout,1590,1573,5
37147,2051162,3943948,2,INDIVIDUAL_NON_MANDATORY,eatingout,1590,2005,5
37148,2051162,3943949,0,INDIVIDUAL_NON_MANDATORY,escort,1590,1564,5
37149,2051162,3943950,0,MANDATORY,school,1590,1592,3
37150,2051162,3943951,0,INDIVIDUAL_NON_MANDATORY,shop,1590,186,5
37151,2051162,3943952,0,INDIVIDUAL_NON_MANDATORY,discretionary,1590,1306,5
37152,2051162,3943952,1,INDIVIDUAL_NON_MANDATORY,discretionary,1590,1638,5
63169,3273911,7582498,0,INDIVIDUAL_NON_MANDATORY,maintenance,5537,6287,1
63170,3273911,7582499,0,INDIVIDUAL_NON_MANDATORY,escort,5537,5535,5
63171,3273911,7582499,1,INDIVIDUAL_NON_MANDATORY,shop,5537,5356,5
63172,3273911,7582500,0,INDIVIDUAL_NON_MANDATORY,shop,5537,6294,5
63173,3273911,7582500,1,INDIVIDUAL_NON_MANDATORY,maintenance,5537,6985,3
63174,3273911,7582500,2,INDIVIDUAL_NON_MANDATORY,eatingout,5537,6173,5
80912,2019925,3814705,0,INDIVIDUAL_NON_MANDATORY,escort,10572,10576,5
80913,2019925,3814706,0,INDIVIDUAL_NON_MANDATORY,discretionary,10572,10667,1
80914,2019925,3814706,1,INDIVIDUAL_NON_MANDATORY,visiting,10572,1168,1
80915,2019925,3814707,0,MANDATORY,school,10572,10575,5
80916,2019925,3814708,0,INDIVIDUAL_NON_MANDATORY,discretionary,10572,10187,5
92436,2484828,4948826,0,MANDATORY,work,11870,11872,1
92437,2484828,4948826,1,MANDATORY,work,11870,11872,1
92438,2484828,4948827,0,MANDATORY,work,11870,12728,3
92439,2484828,4948827,1,MANDATORY,work,11870,12728,3
121624,2429487,4838144,0,MANDATORY,work,16805,16806,1
121625,2429487,4838144,1,MANDATORY,work,16805,16806,1
121626,2429487,4838145,0,INDIVIDUAL_NON_MANDATORY,maintenance,16805,16809,1
121627,2429487,4838145,1,INDIVIDUAL_NON_MANDATORY,visiting,16805,16807,1
